ticker,shortName,sector,industry,currentPrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,trailingPE,forwardPE,priceToBook,pegRatio,returnOnEquity,returnOnAssets,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,revenueGrowth,profitMargins,operatingMargins,grossMargins,ebitdaMargins,dividendYield,marketCap,currentRatio,quickRatio,freeCashflow,totalCashPerShare,bookValue,targetMeanPrice,targetHighPrice,targetLowPrice,recommendationMean,numberOfAnalystOpinions,twoHundredDayAverage,fiftyDayAverage,fiftyTwoWeekChangePercent,beta,enterpriseToEbitda,enterpriseValue,trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions
ENRIN,SIEMENS ENERGY INDIA LTD,Utilities,Utilities - Renewable,3435.300048828125,3968.0,2115.0,82.18421,60.795185,25.424631,1.212156489675516,0.2510898591742177,0.1152516448057662,4.483,0.678,0.678,0.393,0.15769,0.21937999,0.40712002,0.21176,0.11,1223380845548.6973,2.064,1.702,34541000000.0,92.525,135.117,3847.5334,4800.0,3077.0,2.2,15.0,3080.4664990234373,3483.9579931640624,4.25796809797041,0.683,60.534,1209574752256.0,41.8,56.50612,0.27528998,0.55872
VEDL,VEDANTA LIMITED,Basic Materials,Other Industrial Metals & Mining,268.0,795.0,249.6999969482422,11.769873,8.335293,2.1076474,0.1630176315789473,0.20403999,0.05303,48.044,0.722,0.718,-0.373,0.23205,0.3116,0.53911996,0.37484002,12.95,1046486908928.0,1.32,0.122,-487722483712.0,40.658,127.156,314.8889,350.0,235.0,1.85714,9.0,500.0447495269775,275.2959994506836,-39.8428731762065,0.363,4.358,1385360916480.0,22.77,32.15244,0.5707,0.18089001
SIEMENS,SIEMENS LTD,Industrials,Specialty Industrial Machinery,3880.0,4097.89990234375,2826.0,81.56401,57.267574,9.983583,0.2008471066239842,0.2113,0.1052668440958117,2.213,4.061,4.067,0.148,0.19017,0.074889995,0.28199,0.10298,0.46,1381747523584.0,2.57,1.901,-57000000.0,157.699,388.638,3974.8076,4850.0,3000.0,2.65385,26.0,3407.962004394531,3713.7180029296874,22.975496177830877,0.57,74.561,1335496278016.0,47.57,67.75213,0.76905996,0.10918
TATAPOWER,TATA POWER CO LTD,Utilities,Utilities - Independent Power Producers,375.25,464.8999938964844,342.5,31.038048,22.40007,3.037404,2.8475273394495413,0.11336,0.03272,168.051,0.109,0.11,0.056,0.060890004,0.14453,0.35709998,0.20766,0.66,1199051112448.0,0.806,0.593,-59697639424.0,47.102,123.543,418.39124,525.0,299.99875,2.3913,23.0,390.0547506713867,383.19900085449217,-3.917549166863432,0.342,14.724,1939949092864.0,12.09,16.75218,0.48708,0.2163
MUTHOOTFIN,MUTHOOT FINANCE LIMITED,Financial Services,Credit Services,2970.0,4149.5,2604.199951171875,10.482477,9.303782,2.936756,0.2701669329896907,0.31735,0.06402,393.56,0.388,0.388,0.353,0.55502,0.74571997,1.0,0.0,1.05,1192361328640.0,106.853,106.853,-475453870000.0,402.616,1011.32,3388.7727,4500.0,2425.0,2.68182,22.0,3413.565987548828,3013.549990234375,10.6598646770101,0.529,,2617025495040.0,283.33,319.225,0.73352,0.17552
GVT&D,GE VERNOVA T&D INDIA LTD,Industrials,Specialty Industrial Machinery,4050.10009765625,5650.0,2523.199951171875,79.66365,52.082607,38.542282,3.2252489878542514,0.55261004,0.16503,0.892,0.247,0.247,0.38,0.19442,0.24438,0.43567002,0.26203,0.24,1037014098348.5446,1.333,0.879,11809712128.0,59.68,105.082,5087.278,6587.0,3057.0,1.72222,18.0,3882.7719958496095,4583.337998046875,45.14407394633422,0.634,58.818,1034510729216.0,50.84,77.76301,0.51738,0.29907
TECHM,TECH MAHINDRA LIMITED,Technology,Information Technology Services,1592.0999755859375,1854.0,1304.0999755859375,27.511663,18.328407,4.7609506,1.86,0.1714999999999999,0.0974470015839771,7.269,0.283,0.285,0.177,0.086780004,0.14409,0.35758,0.15654,3.21,1410438376323.628,1.902031384721504,1.8948439386101052,54763000000.0,94.689,334.408,1620.05,1951.0,1080.0,2.25,40.0,1506.5610021972657,1527.1260009765624,4.461649569534143,0.162,14.579,1350556844032.0,57.87,86.86516,0.37096,0.44533002
CHOLAFIN,CHOLAMANDALAM IN & FIN CO,Financial Services,Credit Services,1888.9000244140625,1952.5,1299.4000244140625,27.929914,19.23847,5.2839766,0.639128466819222,0.19334999,0.02339,695.283,0.437,0.456,0.346,0.40549,0.56586,0.99932,0.0,0.07,1613245337971.2212,2.918,2.836,-302859100000.0,117.553,357.477,1994.4062,2140.0,1495.0,1.5625,32.0,1670.612502441406,1800.2640087890625,24.033094368149264,0.477,,3613854531584.0,67.63,98.18349,0.51972,0.39244998
TATACAP,TATA CAPITAL LIMITED,Financial Services,Credit Services,366.1499938964844,390.2000122070313,296.0,28.538582,17.322294,3.366525,0.6046309745762712,0.12005,0.01815,502.931,0.472,0.563,0.403,0.39678,0.57055,0.99918,0.0,0.16,1543942019959.35,105.658,105.546,-389600100000.0,17.912,108.762,404.6154,450.0,335.0,1.76923,13.0,336.0232498168945,357.0559997558594,10.786684991371963,1.0493,47.770585604943136,3847512129536.0,12.83,21.1375,0.85973,0.047319997
HDFCLIFE,HDFC LIFE INS CO LTD,Financial Services,Insurance - Life,542.0,807.0,530.5,59.105778,45.258312,6.0355,4.9668721008403365,0.10828,0.00377,15.885,0.119,0.119,0.143,0.019,0.02187,0.10196,0.02345,0.39,1177188958208.0,1.235,0.411,223379700000.0,12.413,89.802,749.14703,910.0,620.0,1.29412,34.0,652.5747488403321,561.0340002441407,-31.95656163378523,0.502,47.898,1169121607680.0,9.17,11.9757,0.55571,0.2794
