ticker,shortName,sector,current_rank,current_score,current_score_status,staged_rank,staged_score,staged_score_status,pushed_rank,pushed_score,pushed_score_status,rank_vs_staged,score_vs_staged,movement_vs_staged,staged_rank_vs_pushed,staged_score_vs_pushed,staged_movement_vs_pushed,rank_vs_pushed,score_vs_pushed,movement_vs_pushed
GESHIP,THE GE SHPG.LTD,Industrials,1,68,ranked,1,66.4,ranked,1,66.4,ranked,0,1.6,unchanged,0,0,unchanged,0,1.6,unchanged
NATIONALUM,NATIONAL ALUMINIUM CO LTD,Basic Materials,2,67.1,ranked,42,59.2,ranked,42,59.2,ranked,40,7.9,up,0,0,unchanged,40,7.9,up
OFSS,ORACLE FIN SERV SOFT LTD.,Technology,3,66.8,ranked,4,62,ranked,4,62,ranked,1,4.8,up,0,0,unchanged,1,4.8,up
SOTL,SAVITA OIL TECHNOLO. LTD,Basic Materials,4,65.6,ranked,161,56.4,ranked,161,56.4,ranked,157,9.2,up,0,0,unchanged,157,9.2,up
PANAMAPET,PANAMA PETROCHEM LTD,Energy,5,64.7,ranked,33,59.6,ranked,33,59.6,ranked,28,5.1,up,0,0,unchanged,28,5.1,up
HINDCOPPER,HINDUSTAN COPPER LTD,Basic Materials,6,64.2,ranked,12,61.4,ranked,12,61.4,ranked,6,2.8,up,0,0,unchanged,6,2.8,up
HINDZINC,HINDUSTAN ZINC LIMITED,Basic Materials,7,64.1,ranked,19,60.6,ranked,19,60.6,ranked,12,3.5,up,0,0,unchanged,12,3.5,up
MCX,MULTI COMMODITY EXCHANGE,Financial Services,8,63.5,ranked,2,63,ranked,2,63,ranked,-6,0.5,down,0,0,unchanged,-6,0.5,down
GPPL,GUJARAT PIPAVAV PORT LTD,Industrials,9,63.5,ranked,8,61.6,ranked,8,61.6,ranked,-1,1.9,down,0,0,unchanged,-1,1.9,down
EMMVEE,EMMVEE PHOTOVOLTAIC PWR L,Technology,10,63.4,ranked,83,57.9,ranked,83,57.9,ranked,73,5.5,up,0,0,unchanged,73,5.5,up
DBCORP,D.B.CORP LTD,Communication Services,11,63.4,ranked,272,54.6,ranked,272,54.6,ranked,261,8.8,up,0,0,unchanged,261,8.8,up
EXPLEOSOL,EXPLEO SOLUTIONS LIMITED,Technology,12,63.1,ranked,25,60.2,ranked,25,60.2,ranked,13,2.9,up,0,0,unchanged,13,2.9,up
LOTUSDEV,SRI LOTUS DEVLPRS N RTY L,Industrials,13,62.9,ranked,224,55.2,ranked,224,55.2,ranked,211,7.7,up,0,0,unchanged,211,7.7,up
GANDHAR,GANDHAR OIL REFINE IND L,Energy,14,62.8,ranked,256,54.8,ranked,256,54.8,ranked,242,8,up,0,0,unchanged,242,8,up
GANDHITUBE,GANDHI SPL. TUBES LTD,Industrials,15,62.8,ranked,112,57.2,ranked,112,57.2,ranked,97,5.6,up,0,0,unchanged,97,5.6,up
CHENNPETRO,CHENNAI PETROLEUM CORP LT,Energy,16,62.8,ranked,144,56.6,ranked,144,56.6,ranked,128,6.2,up,0,0,unchanged,128,6.2,up
PETRONET,PETRONET LNG LIMITED,Energy,17,62.6,ranked,43,59.2,ranked,43,59.2,ranked,26,3.4,up,0,0,unchanged,26,3.4,up
IMFA,INDIAN METALS & FERRO,Basic Materials,18,62.5,ranked,70,58.4,ranked,70,58.4,ranked,52,4.1,up,0,0,unchanged,52,4.1,up
MUTHOOTFIN,MUTHOOT FINANCE LIMITED,Financial Services,19,62.4,ranked,9,61.5,ranked,9,61.5,ranked,-10,0.9,down,0,0,unchanged,-10,0.9,down
GROWW,BILLIONBRAINS GARAGE VN L,Financial Services,20,62.4,ranked,30,59.8,ranked,30,59.8,ranked,10,2.6,up,0,0,unchanged,10,2.6,up
PNGSREVA,PNGS REVA DIAMOND JEWEL L,Consumer Cyclical,21,62.2,ranked,48,59.1,ranked,48,59.1,ranked,27,3.1,up,0,0,unchanged,27,3.1,up
SIYSIL,SIYARAM SILK MILLS LTD,Consumer Cyclical,22,62.2,ranked,67,58.5,ranked,67,58.5,ranked,45,3.7,up,0,0,unchanged,45,3.7,up
GRINFRA,G R INFRAPROJECTS LIMITED,Industrials,23,62.1,ranked,356,53.7,ranked,356,53.7,ranked,333,8.4,up,0,0,unchanged,333,8.4,up
CRAMC,CANARA ROBECO AMC LIMITED,Financial Services,24,62.1,ranked,139,56.7,ranked,139,56.7,ranked,115,5.4,up,0,0,unchanged,115,5.4,up
GHCL,GHCL LIMITED,Basic Materials,25,62,ranked,127,56.9,ranked,127,56.9,ranked,102,5.1,up,0,0,unchanged,102,5.1,up
HUHTAMAKI,HUHTAMAKI INDIA LIMITED,Consumer Cyclical,26,62,ranked,725,50.1,ranked,725,50.1,ranked,699,11.9,up,0,0,unchanged,699,11.9,up
GULFOILLUB,GULF OIL LUB. IND. LTD.,Basic Materials,27,61.9,ranked,73,58.3,ranked,73,58.3,ranked,46,3.6,up,0,0,unchanged,46,3.6,up
WONDERLA,WONDERLA HOLIDAYS LTD.,Consumer Cyclical,28,61.9,ranked,119,57.1,ranked,119,57.1,ranked,91,4.8,up,0,0,unchanged,91,4.8,up
SUNTV,SUN TV NETWORK LIMITED,Communication Services,29,61.8,ranked,156,56.5,ranked,156,56.5,ranked,127,5.3,up,0,0,unchanged,127,5.3,up
GLENMARK,GLENMARK PHARMACEUTICALS,Healthcare,30,61.6,ranked,114,57.2,ranked,114,57.2,ranked,84,4.4,up,0,0,unchanged,84,4.4,up
ZFCVINDIA,ZF COM VE CTR SYS IND LTD,Consumer Cyclical,31,61.6,ranked,223,55.2,ranked,223,55.2,ranked,192,6.4,up,0,0,unchanged,192,6.4,up
AEROENTER,AEROFLEX ENTERPRISES LTD,Basic Materials,32,61.4,ranked,116,57.1,ranked,116,57.1,ranked,84,4.3,up,0,0,unchanged,84,4.3,up
OIL,OIL INDIA LTD,Energy,33,61.3,ranked,263,54.8,ranked,263,54.8,ranked,230,6.5,up,0,0,unchanged,230,6.5,up
KIRIINDUS,KIRI INDUSTRIES LIMITED,Basic Materials,34,61.2,ranked,99,57.4,ranked,99,57.4,ranked,65,3.8,up,0,0,unchanged,65,3.8,up
GNFC,GUJ NAR VAL FER & CHEM L,Basic Materials,35,61.2,ranked,273,54.6,ranked,273,54.6,ranked,238,6.6,up,0,0,unchanged,238,6.6,up
HDFCAMC,HDFC AMC LIMITED,Financial Services,36,61.2,ranked,56,58.8,ranked,56,58.8,ranked,20,2.4,up,0,0,unchanged,20,2.4,up
STYL,SESHAASAI TECHNOLOGIES L,Technology,37,61.2,ranked,34,59.6,ranked,34,59.6,ranked,-3,1.6,down,0,0,unchanged,-3,1.6,down
SPORTKING,SPORTKING INDIA LIMITED,Consumer Cyclical,38,61.2,ranked,796,49.3,ranked,796,49.3,ranked,758,11.9,up,0,0,unchanged,758,11.9,up
SJS,SJS ENTERPRISES LIMITED,Consumer Cyclical,39,61.1,ranked,36,59.6,ranked,36,59.6,ranked,-3,1.5,down,0,0,unchanged,-3,1.5,down
CENTENKA,CENTURY ENKA LTD,Consumer Cyclical,40,61,ranked,152,56.5,ranked,152,56.5,ranked,112,4.5,up,0,0,unchanged,112,4.5,up
PIXTRANS,PIX TRANSMISSIONS LIMITED,Industrials,41,61,ranked,407,53.1,ranked,407,53.1,ranked,366,7.9,up,0,0,unchanged,366,7.9,up
IOC,INDIAN OIL CORP LTD,Energy,42,61,ranked,102,57.4,ranked,102,57.4,ranked,60,3.6,up,0,0,unchanged,60,3.6,up
VEEDOL,VEEDOL CORPORATION LTD,Basic Materials,43,60.9,ranked,210,55.4,ranked,210,55.4,ranked,167,5.5,up,0,0,unchanged,167,5.5,up
CPPLUS,ADITYA INFOTECH LIMITED,Industrials,44,60.9,ranked,122,57.1,ranked,122,57.1,ranked,78,3.8,up,0,0,unchanged,78,3.8,up
MAYURUNIQ,MAYUR UNIQUOTERS LTD,Consumer Cyclical,45,60.8,ranked,65,58.6,ranked,65,58.6,ranked,20,2.2,up,0,0,unchanged,20,2.2,up
LLOYDSME,LLOYDS METALS N ENERGY L,Basic Materials,46,60.7,ranked,155,56.5,ranked,155,56.5,ranked,109,4.2,up,0,0,unchanged,109,4.2,up
KENNAMET,KENNAMETAL INDIA LIMITED,Industrials,47,60.5,ranked,182,55.9,ranked,182,55.9,ranked,135,4.6,up,0,0,unchanged,135,4.6,up
PFIZER,PFIZER LTD,Healthcare,48,60.5,ranked,165,56.3,ranked,165,56.3,ranked,117,4.2,up,0,0,unchanged,117,4.2,up
APTUS,APTUS VALUE HSG FIN I LTD,Financial Services,49,60.5,ranked,3,63,ranked,3,63,ranked,-46,-2.5,down,0,0,unchanged,-46,-2.5,down
UNIPARTS,UNIPARTS INDIA LIMITED,Industrials,50,60.4,ranked,22,60.4,ranked,22,60.4,ranked,-28,0,down,0,0,unchanged,-28,0,down
DIVISLAB,DIVI S LABORATORIES LTD,Healthcare,51,60.4,ranked,391,53.3,ranked,391,53.3,ranked,340,7.1,up,0,0,unchanged,340,7.1,up
BSOFT,BIRLASOFT LIMITED,Technology,52,60.4,ranked,90,57.7,ranked,90,57.7,ranked,38,2.7,up,0,0,unchanged,38,2.7,up
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,Basic Materials,53,60.3,ranked,265,54.8,ranked,265,54.8,ranked,212,5.5,up,0,0,unchanged,212,5.5,up
IGIL,INTL GEMOLOGICAL INST LTD,Basic Materials,54,60.2,ranked,143,56.6,ranked,143,56.6,ranked,89,3.6,up,0,0,unchanged,89,3.6,up
GUJALKALI,GUJARAT ALKALIES & CHEM,Basic Materials,55,60.1,ranked,328,53.9,ranked,328,53.9,ranked,273,6.2,up,0,0,unchanged,273,6.2,up
ALIVUS,ALIVUS LIFE SCIENCES LTD,Healthcare,56,60.1,ranked,81,58,ranked,81,58,ranked,25,2.1,up,0,0,unchanged,25,2.1,up
KISSHT,ONEMI TECHNOLOGY SOL LTD,Financial Services,57,60,ranked,17,60.9,ranked,17,60.9,ranked,-40,-0.9,down,0,0,unchanged,-40,-0.9,down
BCG,BRIGHTCOM GROUP LIMITED,Communication Services,58,59.9,ranked,150,56.5,ranked,150,56.5,ranked,92,3.4,up,0,0,unchanged,92,3.4,up
THYROCARE,THYROCARE TECH LTD,Healthcare,59,59.8,ranked,27,60.2,ranked,27,60.2,ranked,-32,-0.4,down,0,0,unchanged,-32,-0.4,down
BAJAJCON,BAJAJ CONSUMER CARE LTD,Consumer Defensive,60,59.8,ranked,452,52.6,ranked,452,52.6,ranked,392,7.2,up,0,0,unchanged,392,7.2,up
MOIL,MOIL LIMITED,Basic Materials,61,59.8,ranked,811,49.1,ranked,811,49.1,ranked,750,10.7,up,0,0,unchanged,750,10.7,up
SAGILITY,SAGILITY LIMITED,Healthcare,62,59.7,ranked,104,57.4,ranked,104,57.4,ranked,42,2.3,up,0,0,unchanged,42,2.3,up
KKCL,KEWAL KIRAN CLOTHING LTD,Consumer Cyclical,63,59.6,ranked,185,55.8,ranked,185,55.8,ranked,122,3.8,up,0,0,unchanged,122,3.8,up
APOLLOTYRE,APOLLO TYRES LTD,Consumer Cyclical,64,59.5,ranked,80,58,ranked,80,58,ranked,16,1.5,up,0,0,unchanged,16,1.5,up
BEPL,BHANSALI ENG. POLYMERS LT,Basic Materials,65,59.4,ranked,283,54.4,ranked,283,54.4,ranked,218,5,up,0,0,unchanged,218,5,up
ONGC,OIL AND NATURAL GAS CORP.,Energy,66,59.4,ranked,120,57.1,ranked,120,57.1,ranked,54,2.3,up,0,0,unchanged,54,2.3,up
ICICIAMC,ICICI PRUDENTIAL AMC LTD,Financial Services,67,59.4,ranked,55,58.8,ranked,55,58.8,ranked,-12,0.6,down,0,0,unchanged,-12,0.6,down
EIHOTEL,EIH LIMITED,Consumer Cyclical,68,59.4,ranked,308,54.2,ranked,308,54.2,ranked,240,5.2,up,0,0,unchanged,240,5.2,up
NEWGEN,NEWGEN SOFTWARE TECH LTD,Technology,69,59.4,ranked,351,53.7,ranked,351,53.7,ranked,282,5.7,up,0,0,unchanged,282,5.7,up
VENUSREM,VENUS REMEDIES LIMITED,Healthcare,70,59.3,ranked,66,58.5,ranked,66,58.5,ranked,-4,0.8,down,0,0,unchanged,-4,0.8,down
BBTC,BOMBAY BURMAH TRADING COR,Consumer Defensive,71,59.3,ranked,38,59.3,ranked,38,59.3,ranked,-33,0,down,0,0,unchanged,-33,0,down
GIPCL,GUJ IND POW CO. LTD,Utilities,72,59.3,ranked,88,57.7,ranked,88,57.7,ranked,16,1.6,up,0,0,unchanged,16,1.6,up
COALINDIA,COAL INDIA LTD,Energy,73,59.3,ranked,37,59.4,ranked,37,59.4,ranked,-36,-0.1,down,0,0,unchanged,-36,-0.1,down
SHAREINDIA,SHARE IND. SECURITIES LTD,Financial Services,74,59.2,ranked,100,57.4,ranked,100,57.4,ranked,26,1.8,up,0,0,unchanged,26,1.8,up
GKENERGY,GK ENERGY LIMITED,Utilities,75,59.2,ranked,49,59,ranked,49,59,ranked,-26,0.2,down,0,0,unchanged,-26,0.2,down
COFORGE,COFORGE LIMITED,Technology,76,59.2,ranked,15,61.2,ranked,15,61.2,ranked,-61,-2,down,0,0,unchanged,-61,-2,down
CASTROLIND,CASTROL INDIA LIMITED,Energy,77,59.2,ranked,434,52.8,ranked,434,52.8,ranked,357,6.4,up,0,0,unchanged,357,6.4,up
AGI,AGI GREENPAC LIMITED,Consumer Cyclical,78,59.2,ranked,142,56.6,ranked,142,56.6,ranked,64,2.6,up,0,0,unchanged,64,2.6,up
GOLDIAM,GOLDIAM INTERNATIONAL LTD,Consumer Cyclical,79,59,ranked,386,53.3,ranked,386,53.3,ranked,307,5.7,up,0,0,unchanged,307,5.7,up
ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,Energy,80,59,ranked,47,59.1,ranked,47,59.1,ranked,-33,-0.1,down,0,0,unchanged,-33,-0.1,down
TECHM,TECH MAHINDRA LIMITED,Technology,81,58.9,ranked,374,53.4,ranked,374,53.4,ranked,293,5.5,up,0,0,unchanged,293,5.5,up
PRUDENT,PRUDENT CORP ADV SER LTD,Financial Services,82,58.9,ranked,352,53.7,ranked,352,53.7,ranked,270,5.2,up,0,0,unchanged,270,5.2,up
MAHABANK,BANK OF MAHARASHTRA,Financial Services,83,58.8,ranked,225,55.2,ranked,225,55.2,ranked,142,3.6,up,0,0,unchanged,142,3.6,up
JUNIPER,JUNIPER HOTELS LIMITED,Consumer Cyclical,84,58.8,ranked,390,53.3,ranked,390,53.3,ranked,306,5.5,up,0,0,unchanged,306,5.5,up
ATUL,ATUL LTD,Basic Materials,85,58.7,ranked,439,52.8,ranked,439,52.8,ranked,354,5.9,up,0,0,unchanged,354,5.9,up
SHANTIGOLD,SHANTI GOLD INTERNATION L,Consumer Cyclical,86,58.7,ranked,58,58.7,ranked,58,58.7,ranked,-28,0,down,0,0,unchanged,-28,0,down
DEEPINDS,DEEP INDUSTRIES LIMITED,Energy,87,58.6,ranked,221,55.2,ranked,221,55.2,ranked,134,3.4,up,0,0,unchanged,134,3.4,up
NAM-INDIA,NIPPON L I A M LTD,Financial Services,88,58.6,ranked,10,61.5,ranked,10,61.5,ranked,-78,-2.9,down,0,0,unchanged,-78,-2.9,down
GLAND,GLAND PHARMA LIMITED,Healthcare,89,58.6,ranked,68,58.5,ranked,68,58.5,ranked,-21,0.1,down,0,0,unchanged,-21,0.1,down
CRISIL,CRISIL LTD,Financial Services,90,58.6,ranked,28,60.1,ranked,28,60.1,ranked,-62,-1.5,down,0,0,unchanged,-62,-1.5,down
HEROMOTOCO,HERO MOTOCORP LIMITED,Consumer Cyclical,91,58.5,ranked,40,59.3,ranked,40,59.3,ranked,-51,-0.8,down,0,0,unchanged,-51,-0.8,down
VEDL,VEDANTA LIMITED,Basic Materials,92,58.5,ranked,103,57.4,ranked,103,57.4,ranked,11,1.1,up,0,0,unchanged,11,1.1,up
VIYASH,VIYASH SCIENTIFIC LIMITED,Healthcare,93,58.5,ranked,51,59,ranked,51,59,ranked,-42,-0.5,down,0,0,unchanged,-42,-0.5,down
BLS,BLS INTL SERVS LTD,Industrials,94,58.5,ranked,92,57.6,ranked,92,57.6,ranked,-2,0.9,down,0,0,unchanged,-2,0.9,down
INDIASHLTR,INDIA SHELTER FIN CORP L,Financial Services,95,58.5,ranked,7,61.7,ranked,7,61.7,ranked,-88,-3.2,down,0,0,unchanged,-88,-3.2,down
VIDHIING,VIDHI SPCLTY F INGRDNTS L,Basic Materials,96,58.3,ranked,388,53.3,ranked,388,53.3,ranked,292,5,up,0,0,unchanged,292,5,up
ATLANTAELE,ATLANTA ELECTRICALS LTD,Industrials,97,58.3,ranked,75,58.2,ranked,75,58.2,ranked,-22,0.1,down,0,0,unchanged,-22,0.1,down
INDOTHAI,INDO THAI SEC LTD,Financial Services,98,58.2,ranked,716,50.2,ranked,716,50.2,ranked,618,8,up,0,0,unchanged,618,8,up
RSYSTEMS,R SYS INTERNATIONAL LTD,Technology,99,58.2,ranked,251,54.9,ranked,251,54.9,ranked,152,3.3,up,0,0,unchanged,152,3.3,up
TCS,TATA CONSULTANCY SERV LT,Technology,100,58.2,ranked,91,57.7,ranked,91,57.7,ranked,-9,0.5,down,0,0,unchanged,-9,0.5,down
SHRIRAMFIN,SHRIRAM FINANCE LIMITED,Financial Services,101,58.2,ranked,126,56.9,ranked,126,56.9,ranked,25,1.3,up,0,0,unchanged,25,1.3,up
OBEROIRLTY,OBEROI REALTY LIMITED,Real Estate,102,58.2,ranked,319,54,ranked,319,54,ranked,217,4.2,up,0,0,unchanged,217,4.2,up
ITCHOTELS,ITC HOTELS LIMITED,Consumer Cyclical,103,58.2,ranked,232,55.1,ranked,232,55.1,ranked,129,3.1,up,0,0,unchanged,129,3.1,up
SANOFI,SANOFI INDIA LIMITED,Healthcare,104,58.2,ranked,590,51.3,ranked,590,51.3,ranked,486,6.9,up,0,0,unchanged,486,6.9,up
VRLLOG,VRL LOGISTICS LIMITED,Industrials,105,58.2,ranked,478,52.4,ranked,478,52.4,ranked,373,5.8,up,0,0,unchanged,373,5.8,up
DDEVPLSTIK,DDEV PLASTIKS IND LTD,Basic Materials,106,58.2,ranked,240,55.1,ranked,240,55.1,ranked,134,3.1,up,0,0,unchanged,134,3.1,up
JSWDULUX,JSW DULUX LIMITED,Consumer Discretionary,107,58.1,ranked,525,51.9,ranked,525,51.9,ranked,418,6.2,up,0,0,unchanged,418,6.2,up
EMAMILTD,EMAMI LIMITED,Consumer Defensive,108,58.1,ranked,125,57,ranked,125,57,ranked,17,1.1,up,0,0,unchanged,17,1.1,up
HINDALCO,HINDALCO  INDUSTRIES  LTD,Basic Materials,109,58.1,ranked,682,50.5,ranked,682,50.5,ranked,573,7.6,up,0,0,unchanged,573,7.6,up
CREDITACC,CREDITACCESS GRAMEEN LTD,Financial Services,110,58.1,ranked,153,56.5,ranked,153,56.5,ranked,43,1.6,up,0,0,unchanged,43,1.6,up
LTM,LTM LIMITED,Technology,111,58,ranked,121,57.1,ranked,121,57.1,ranked,10,0.9,up,0,0,unchanged,10,0.9,up
MRPL,MRPL,Energy,112,58,ranked,411,53,ranked,411,53,ranked,299,5,up,0,0,unchanged,299,5,up
KIRLFER,KIRLOSKAR FERROUS IND LTD,Industrials,113,58,ranked,157,56.5,ranked,157,56.5,ranked,44,1.5,up,0,0,unchanged,44,1.5,up
ZAGGLE,ZAGGLE PREPA OCEAN SER L,Technology,114,58,ranked,11,61.4,ranked,11,61.4,ranked,-103,-3.4,down,0,0,unchanged,-103,-3.4,down
TBZ,TRIB BHIMJI ZAVERI LTD,Consumer Cyclical,115,57.9,ranked,203,55.5,ranked,203,55.5,ranked,88,2.4,up,0,0,unchanged,88,2.4,up
IIFL,IIFL FINANCE LIMITED,Financial Services,116,57.9,ranked,59,58.7,ranked,59,58.7,ranked,-57,-0.8,down,0,0,unchanged,-57,-0.8,down
FINCABLES,FINOLEX CABLES LTD,Industrials,117,57.9,ranked,313,54.1,ranked,313,54.1,ranked,196,3.8,up,0,0,unchanged,196,3.8,up
ECLERX,ECLERX SERVICES LTD,Technology,118,57.9,ranked,136,56.8,ranked,136,56.8,ranked,18,1.1,up,0,0,unchanged,18,1.1,up
BHARTIARTL,BHARTI AIRTEL LIMITED,Communication Services,119,57.8,ranked,287,54.4,ranked,287,54.4,ranked,168,3.4,up,0,0,unchanged,168,3.4,up
NAVINFLUOR,NAVIN FLUORINE INT. LTD,Basic Materials,120,57.8,ranked,168,56.2,ranked,168,56.2,ranked,48,1.6,up,0,0,unchanged,48,1.6,up
KARURVYSYA,KARUR VYSYA BANK LTD,Financial Services,121,57.8,ranked,288,54.4,ranked,288,54.4,ranked,167,3.4,up,0,0,unchanged,167,3.4,up
THELEELA,LEELA PALACES HOTEL LTD,Consumer Cyclical,122,57.8,ranked,475,52.4,ranked,475,52.4,ranked,353,5.4,up,0,0,unchanged,353,5.4,up
DIVGIITTS,DIVGI TORQTRANSFER SYST L,Consumer Cyclical,123,57.8,ranked,106,57.4,ranked,106,57.4,ranked,-17,0.4,down,0,0,unchanged,-17,0.4,down
VADILALIND,VADILAL INDUSTRIES LTD,Consumer Defensive,124,57.7,ranked,186,55.8,ranked,186,55.8,ranked,62,1.9,up,0,0,unchanged,62,1.9,up
BAJAJ-AUTO,BAJAJ AUTO LIMITED,Consumer Cyclical,125,57.7,ranked,98,57.5,ranked,98,57.5,ranked,-27,0.2,down,0,0,unchanged,-27,0.2,down
ITC,ITC LTD,Consumer Defensive,126,57.6,ranked,316,54.1,ranked,316,54.1,ranked,190,3.5,up,0,0,unchanged,190,3.5,up
ACMESOLAR,ACME SOLAR HOLDINGS LTD,Utilities,127,57.6,ranked,460,52.6,ranked,460,52.6,ranked,333,5,up,0,0,unchanged,333,5,up
KAJARIACER,KAJARIA CERAMICS LTD,Industrials,128,57.6,ranked,31,59.8,ranked,31,59.8,ranked,-97,-2.2,down,0,0,unchanged,-97,-2.2,down
USHAMART,USHA MARTIN LTD.,Basic Materials,129,57.6,ranked,140,56.7,ranked,140,56.7,ranked,11,0.9,up,0,0,unchanged,11,0.9,up
AUTOAXLES,AUTOMOTIVE AXLES LIMITED,Consumer Cyclical,130,57.6,ranked,46,59.2,ranked,46,59.2,ranked,-84,-1.6,down,0,0,unchanged,-84,-1.6,down
BRIGHOTEL,BRIGADE HOTEL VENTURE LTD,Consumer Cyclical,131,57.6,ranked,135,56.8,ranked,135,56.8,ranked,4,0.8,up,0,0,unchanged,4,0.8,up
GARUDA,GARUDA CONSTRUCT N ENG L,Industrials,132,57.5,ranked,54,58.8,ranked,54,58.8,ranked,-78,-1.3,down,0,0,unchanged,-78,-1.3,down
IRMENERGY,IRM ENERGY LIMITED,Utilities,133,57.5,ranked,646,50.8,ranked,646,50.8,ranked,513,6.7,up,0,0,unchanged,513,6.7,up
REDINGTON,REDINGTON LIMITED,Technology,134,57.5,ranked,713,50.2,ranked,713,50.2,ranked,579,7.3,up,0,0,unchanged,579,7.3,up
DPABHUSHAN,D. P. ABHUSHAN LIMITED,Consumer Cyclical,135,57.4,ranked,199,55.6,ranked,199,55.6,ranked,64,1.8,up,0,0,unchanged,64,1.8,up
LICI,LIFE INSURA CORP OF INDIA,Financial Services,136,57.4,ranked,171,56.1,ranked,171,56.1,ranked,35,1.3,up,0,0,unchanged,35,1.3,up
VSSL,VARDHMAN SPC STEEL LTD,Basic Materials,137,57.3,ranked,117,57.1,ranked,117,57.1,ranked,-20,0.2,down,0,0,unchanged,-20,0.2,down
AVTNPL,AVT NATURAL PRODUCTS LTD,Basic Materials,138,57.3,ranked,258,54.8,ranked,258,54.8,ranked,120,2.5,up,0,0,unchanged,120,2.5,up
STYLAMIND,STYLAM INDUSTRIES LIMITED,Consumer Cyclical,139,57.3,ranked,297,54.3,ranked,297,54.3,ranked,158,3,up,0,0,unchanged,158,3,up
MPSLTD,MPS LIMITED,Communication Services,140,57.3,ranked,197,55.7,ranked,197,55.7,ranked,57,1.6,up,0,0,unchanged,57,1.6,up
LAOPALA,LA OPALA RG LIMITED,Consumer Cyclical,141,57.3,ranked,109,57.3,ranked,109,57.3,ranked,-32,0,down,0,0,unchanged,-32,0,down
JARO,JARO INS OF TEC MG N RE L,Consumer Defensive,142,57.2,ranked,591,51.3,ranked,591,51.3,ranked,449,5.9,up,0,0,unchanged,449,5.9,up
INDOBORAX,INDO BORAX & CHEMICAL LTD,Basic Materials,143,57.2,ranked,115,57.1,ranked,115,57.1,ranked,-28,0.1,down,0,0,unchanged,-28,0.1,down
BSE,BSE LIMITED,Financial Services,144,57.2,ranked,76,58.1,ranked,76,58.1,ranked,-68,-0.9,down,0,0,unchanged,-68,-0.9,down
ANANDRATHI,ANAND RATHI WEALTH LTD,Financial Services,145,57.2,ranked,154,56.5,ranked,154,56.5,ranked,9,0.7,up,0,0,unchanged,9,0.7,up
GALAXYSURF,GALAXY SURFACTANTS LTD,Basic Materials,146,57.2,ranked,291,54.4,ranked,291,54.4,ranked,145,2.8,up,0,0,unchanged,145,2.8,up
REFEX,REFEX INDUSTRIES LIMITED,Energy,147,57.1,ranked,180,55.9,ranked,180,55.9,ranked,33,1.2,up,0,0,unchanged,33,1.2,up
SOMANYCERA,SOMANY CERAMICS LIMITED,Industrials,148,57.1,ranked,431,52.9,ranked,431,52.9,ranked,283,4.2,up,0,0,unchanged,283,4.2,up
GVPIL,GE POWER INDIA LIMITED,Industrials,149,57,ranked,361,53.5,ranked,361,53.5,ranked,212,3.5,up,0,0,unchanged,212,3.5,up
VAIBHAVGBL,VAIBHAV GLOBAL LIMITED,Consumer Cyclical,150,57,ranked,113,57.2,ranked,113,57.2,ranked,-37,-0.2,down,0,0,unchanged,-37,-0.2,down
GMBREW,G M BREWERIES LTD,Consumer Defensive,151,57,ranked,191,55.7,ranked,191,55.7,ranked,40,1.3,up,0,0,unchanged,40,1.3,up
SHARDAMOTR,SHARDA MOTOR INDS LTD,Consumer Cyclical,152,56.9,ranked,71,58.3,ranked,71,58.3,ranked,-81,-1.4,down,0,0,unchanged,-81,-1.4,down
MAHSEAMLES,MAHARASHTRA SEAMLESS LTD,Basic Materials,153,56.9,ranked,503,52.1,ranked,503,52.1,ranked,350,4.8,up,0,0,unchanged,350,4.8,up
KRBL,KRBL LIMITED,Consumer Defensive,154,56.9,ranked,233,55.1,ranked,233,55.1,ranked,79,1.8,up,0,0,unchanged,79,1.8,up
SPARC,SUN PHARMA ADV.RES.CO.LTD,Healthcare,155,56.8,ranked,60,58.6,ranked,60,58.6,ranked,-95,-1.8,down,0,0,unchanged,-95,-1.8,down
ESABINDIA,ESAB INDIA LTD,Industrials,156,56.8,ranked,488,52.2,ranked,488,52.2,ranked,332,4.6,up,0,0,unchanged,332,4.6,up
BALUFORGE,BALU FORGE INDUSTRIES LTD,Industrials,157,56.8,ranked,535,51.8,ranked,535,51.8,ranked,378,5,up,0,0,unchanged,378,5,up
BPCL,BHARAT PETROLEUM CORP  LT,Energy,158,56.8,ranked,130,56.9,ranked,130,56.9,ranked,-28,-0.1,down,0,0,unchanged,-28,-0.1,down
ACUTAAS,ACUTAAS CHEMICALS LIMITED,Basic Materials,159,56.8,ranked,35,59.6,ranked,35,59.6,ranked,-124,-2.8,down,0,0,unchanged,-124,-2.8,down
TDPOWERSYS,TD POWER SYSTEMS LTD.,Industrials,160,56.8,ranked,237,55.1,ranked,237,55.1,ranked,77,1.7,up,0,0,unchanged,77,1.7,up
CLSEL,CHAMAN LAL SETIA EXP LTD,Consumer Defensive,161,56.7,ranked,217,55.3,ranked,217,55.3,ranked,56,1.4,up,0,0,unchanged,56,1.4,up
EICHERMOT,EICHER MOTORS LTD,Consumer Cyclical,162,56.7,ranked,212,55.4,ranked,212,55.4,ranked,50,1.3,up,0,0,unchanged,50,1.3,up
