ticker,shortName,sector,current_rank,current_score,current_score_status,staged_rank,staged_score,staged_score_status,pushed_rank,pushed_score,pushed_score_status,rank_vs_staged,score_vs_staged,movement_vs_staged,staged_rank_vs_pushed,staged_score_vs_pushed,staged_movement_vs_pushed,rank_vs_pushed,score_vs_pushed,movement_vs_pushed
REPCOHOME,REPCO HOME FINANCE LTD,Financial Services,775,49.5,ranked,565,51.6,ranked,565,51.6,ranked,-210,-2.1,down,0,0,unchanged,-210,-2.1,down
CAPACITE,CAPACITE INFRAPROJECT LTD,Industrials,776,49.5,ranked,893,48.2,ranked,893,48.2,ranked,117,1.3,up,0,0,unchanged,117,1.3,up
SHILCTECH,SHILCHAR TECHNOLOGIES LTD,Industrials,777,49.5,ranked,783,49.5,ranked,783,49.5,ranked,6,0,up,0,0,unchanged,6,0,up
COSMOFIRST,COSMO FIRST LIMITED,Consumer Cyclical,778,49.5,ranked,877,48.5,ranked,877,48.5,ranked,99,1,up,0,0,unchanged,99,1,up
PAUSHAKLTD,PAUSHAK LIMITED,Basic Materials,779,49.5,ranked,680,50.5,ranked,680,50.5,ranked,-99,-1,down,0,0,unchanged,-99,-1,down
TATASTEEL,TATA STEEL LIMITED,Basic Materials,780,49.4,ranked,437,52.8,ranked,437,52.8,ranked,-343,-3.4,down,0,0,unchanged,-343,-3.4,down
BRITANNIA,BRITANNIA INDUSTRIES LTD,Consumer Defensive,781,49.4,ranked,606,51.2,ranked,606,51.2,ranked,-175,-1.8,down,0,0,unchanged,-175,-1.8,down
SUPRAJIT,SUPRAJIT ENGINEERING LTD,Consumer Cyclical,782,49.4,ranked,628,51,ranked,628,51,ranked,-154,-1.6,down,0,0,unchanged,-154,-1.6,down
JPPOWER,JAIPRAKASH POWER VEN. LTD,Utilities,783,49.4,ranked,1126,44.5,ranked,1126,44.5,ranked,343,4.9,up,0,0,unchanged,343,4.9,up
APLAPOLLO,APL APOLLO TUBES LTD,Basic Materials,784,49.3,ranked,476,52.4,ranked,476,52.4,ranked,-308,-3.1,down,0,0,unchanged,-308,-3.1,down
PNBHOUSING,PNB HOUSING FIN LTD.,Financial Services,785,49.3,ranked,618,51.1,ranked,618,51.1,ranked,-167,-1.8,down,0,0,unchanged,-167,-1.8,down
RBLBANK,RBL BANK LIMITED,Financial Services,786,49.3,ranked,918,47.9,ranked,918,47.9,ranked,132,1.4,up,0,0,unchanged,132,1.4,up
JLHL,JUPITER LIFE LINE HOSP L,Healthcare,787,49.3,ranked,759,49.7,ranked,759,49.7,ranked,-28,-0.4,down,0,0,unchanged,-28,-0.4,down
SIS,SIS LIMITED,Industrials,788,49.3,ranked,506,52.1,ranked,506,52.1,ranked,-282,-2.8,down,0,0,unchanged,-282,-2.8,down
VSTTILLERS,VST TILLERS TRACTORS LTD,Industrials,789,49.3,ranked,872,48.5,ranked,872,48.5,ranked,83,0.8,up,0,0,unchanged,83,0.8,up
JUBLCPL,JUBILANT AGRI N CON PRO L,Basic Materials,790,49.3,ranked,302,54.2,ranked,302,54.2,ranked,-488,-4.9,down,0,0,unchanged,-488,-4.9,down
FISCHER,FISCHER MEDICAL VENTURE L,Healthcare,791,49.3,ranked,951,47.5,ranked,951,47.5,ranked,160,1.8,up,0,0,unchanged,160,1.8,up
CENTURYPLY,CENTURY PLYBOARDS (I) LTD,Basic Materials,792,49.2,ranked,947,47.5,ranked,947,47.5,ranked,155,1.7,up,0,0,unchanged,155,1.7,up
ARE&M,AMARA RAJA ENERGY MOB LTD,Industrials,793,49.2,ranked,627,51,ranked,627,51,ranked,-166,-1.8,down,0,0,unchanged,-166,-1.8,down
MINDACORP,MINDA CORPORATION LTD,Consumer Cyclical,794,49.2,ranked,621,51.1,ranked,621,51.1,ranked,-173,-1.9,down,0,0,unchanged,-173,-1.9,down
PTC,PTC INDIA LIMITED,Utilities,795,49.2,ranked,820,49,ranked,820,49,ranked,25,0.2,up,0,0,unchanged,25,0.2,up
VERANDA,VERANDA LEARNING SOL LTD,Consumer Defensive,796,49.2,ranked,784,49.5,ranked,784,49.5,ranked,-12,-0.3,down,0,0,unchanged,-12,-0.3,down
INDORAMA,INDO RAMA SYNTHETICS LTD,Consumer Cyclical,797,49.2,ranked,473,52.4,ranked,473,52.4,ranked,-324,-3.2,down,0,0,unchanged,-324,-3.2,down
SWIGGY,SWIGGY LIMITED,Consumer Cyclical,798,49.2,ranked,,,insufficient valuation data,,,insufficient valuation data,,,newly ranked,,,unranked,,,newly ranked
