ticker,shortName,sector,currentPrice,pct_below_52w_high,pct_above_52w_low,trailingPE,priceToBook,roe_pct,debtToEquity,margin_pct,earningsGrowth,revenueGrowth,marketCap,score,reasons
NEWGEN,NEWGEN SOFTWARE TECH LTD,Technology,527.3499755859375,49.3881663900622,31.492330541640058,23.754503,4.1882753,24.5,2.214,19.478,0.278,0.112,74541830789.03006,13,49% below 52w high; ROE 24%; low D/E 2; margin 19%; earnings +28%; rev +11%
MAYURUNIQ,MAYUR UNIQUOTERS LTD,Consumer Cyclical,776.0499877929688,14.437708071337513,64.69651266732043,16.272804,2.9771702,18.365000000000002,0.687,20.299,0.379,0.247,33721388525.572773,13,ROE 18%; low D/E 1; margin 20%; earnings +38%; rev +25%; PE 16
IDBI,IDBI BANK LIMITED,Financial Services,81.73999786376953,30.95117438735244,33.9780365719495,9.427912,1.24414,13.874,33.69653805154797,48.589,0.2069649809970475,0.0473141255670912,878901306950.3915,13,31% below 52w high; low D/E 34; margin 49%; earnings +21%; PE 9
BBTC,BOMBAY BURMAH TRADING COR,Consumer Defensive,1436.0,32.740046838407494,9.23475024103455,7.7638407,1.422788,28.709,16.57,6.3829996,0.197,0.078,100192452608.0,13,33% below 52w high; ROE 29%; low D/E 17; earnings +20%; PE 8
HINDZINC,HINDUSTAN ZINC LIMITED,Basic Materials,573.9000244140625,21.705317269568553,37.29665655838816,14.2124815,10.715887,76.941,39.034,38.068000000000005,1.446,0.717,2424910746357.205,13,22% below 52w high; ROE 77%; low D/E 39; margin 38%; earnings +145%; rev +72%; PE 14
GVPIL,GE POWER INDIA LIMITED,Industrials,666.7000122070312,38.49630883698973,146.10558406353783,13.08281,7.6939945,71.698,3.02,21.035999,0.548,0.076,44820558644.64789,13,38% below 52w high; ROE 72%; low D/E 3; margin 21%; earnings +55%; PE 13
JSLL,JEENA SIKHO LIFECARE LTD,Healthcare,506.2000122070313,40.41200562601161,2.886181342892542,26.698315,13.474234,59.921,27.261,27.776,0.284,0.288,62921033197.34294,13,40% below 52w high; ROE 60%; low D/E 27; margin 28%; earnings +28%; rev +29%
SILVERTUC,SILVER TOUCH TECHNO LTD,Technology,195.3300018310547,82.52002233959462,94.35821077716884,6.7799377,14.633654,23.551,19.451,11.711001,1.484,0.223,24769798376.196053,13,83% below 52w high; ROE 24%; low D/E 19; earnings +148%; rev +22%; PE 7
HMAAGRO,HMA AGRO INDUSTRIES LTD,Consumer Defensive,21.940000534057617,35.922898777614634,9.700002670288086,6.6890244,1.1609694,18.639,88.318,2.716,49.5,0.861,10986889483.43992,13,36% below 52w high; ROE 19%; earnings +4950%; rev +86%; PE 7
MBEL,M AND B ENGINEERING LTD,Industrials,278.1000061035156,48.10599114870687,24.68056592627963,15.846155,2.4007044,19.226,12.711,7.355,0.045,0.225,15896397148.88136,13,48% below 52w high; ROE 19%; low D/E 13; rev +22%; PE 16
